,Title,Company,Location,Salary,Posted
120,"('IT Programmer',)","('PD. BPR Bank Gresik',)","('Jawa Timur - Gresik',)",Above Expected Salary,25 Apr - 1:00 AM
121,"('Game Programmer',)","('PT Engram Teknologi Indonesia',)","('Denpasar (Bali)',)","IDR 5,000,000 - 7,000,000",25 Apr - 1:00 AM
122,"('ERP Programmer (F&B Industry)',)","('PT Berkat Jaya Damai',)","('Jakarta Utara (Jakarta Raya) - Kamal Muara',)",Above Expected Salary,24 Apr - 1:00 AM
123,"('Programmer',)","('Sekolah Pelita Harapan - Lippo Village Campus',)","('Tangerang (Banten)',)",Above Expected Salary,24 Apr - 1:00 AM
124,"('.NET Programmer',)","('PT CycleSoft Technology',)","('Jakarta Raya',)",Above Expected Salary,28 Apr - 2:34 AM
125,"('',)","('',)","('',)",,
126,"('Programmer DotNet penempatan Karawang',)","('PT Hiro Sentra Global',)","('Karawang (Jawa Barat)',)","IDR 7,000,000 - 9,000,000",27 Apr - 6:50 PM
127,"('Bootcamp IT Consultant / Programmer (Fresh Graduate)',)","('PT Indocyber Global Teknologi',)","('Jakarta Selatan (Jakarta Raya) - Wisma STACO',)",Above Expected Salary,27 Apr - 6:25 PM
128,"('Programmer',)","('PT Natura Laboratoria Prima',)","('Jakarta Selatan (Jakarta Raya)',)",Above Expected Salary,27 Apr - 3:08 PM
129,"('Front End Web Programmer',)","('PT. Berkat Bejana Anugerah',)","('Surabaya (Jawa Timur) - Surabaya Barat - Mayjend Sungkono',)","IDR 5,000,000 - 10,000,000",27 Apr - 2:47 PM
130,"('IT Programmer',)","('PT. Bumimulia Indah Lestari',)","('Cikarang (Jawa Barat) - Jl. Jababeka XVI Blok V No. 65A Cikarang, Bekasi',)","IDR 4,500,000 - 5,850,000",27 Apr - 12:05 PM
131,"('PROGRAMMER (Medan Based)',)","('PT Wilmar Consultancy Services',)","('Medan (Sumatera Utara)',)",Above Expected Salary,27 Apr - 10:26 AM
132,"('Programmer',)","('PT Patra Nusa Data',)","('Banten, Jakarta Raya, Jawa Barat, Yogyakarta',)",Above Expected Salary,27 Apr - 12:17 AM
133,"('CNC Programmer (Wood Working)',)","('PT SAS Kreasindo Utama',)","('Tegal (Jawa Tengah)',)","IDR 3,000,000 - 4,000,000",26 Apr - 4:15 PM
134,"('Programmer (PRG-ITD)',)","('PT Artajasa Pembayaran Elektronis',)","('Tangerang (Banten) - BSD',)",Above Expected Salary,26 Apr - 1:00 AM
